name,location,coordinates
Университет Алжира,,
Университет Дамаска,"Damascus, Syria",33°30′41″ с. ш. 36°17′29″ в. д.
Национальная школа администрации,,
Национальная школа администрации,,
Дипломатическая академия МИД России,"Москва,  Россия",55°44′08″ с. ш. 37°35′44″ в. д.
Ташкентский университет информационных технологий,"Узбекистан, Ташкент",41°20′27″ с. ш. 69°17′12″ в. д.
Лондонский университет,"Великобритания, Лондон",51°31′16″ с. ш. 0°07′44″ з. д.
Уодхэм-колледж,,
Еврейский университет в Иерусалиме,"Израиль, Иерусалим, Реховот",31°46′33″ с. ш. 35°12′00″ в. д.
Школа дипломатической службы,,
Каирский университет,"Египет, Гиза",30°01′39″ с. ш. 31°12′37″ в. д.
Национальная школа администрации,,
Университет Гакусюин,"Тосима, Токио, Япония",35°43′08″ с. ш. 139°42′31″ в. д.
Бишкекская финансово-экономическая академия,,42°52′39″ с. ш. 74°34′35″ в. д.
Эстонский университет естественных наук,"Tartu, Estonia58°23′19″N 26°41′49″E﻿ / ﻿58.388503845112346°N 26.696839253440597°E﻿ / 58.388503845112346; 26.696839253440597",58°23′19″ с. ш. 26°41′31″ в. д.
Инсбрукская академическая гимназия,,
Лондонская школа экономики и политических наук,Лондон,51°30′50″ с. ш. 0°07′00″ з. д.
Венский университет,"Вена, Австрия",48°12′47″ с. ш. 16°21′35″ в. д.
Афинский политехнический университет,"Афины,  Греция",37°59′16″ с. ш. 23°43′53″ в. д.
Университет Невшателя,"Невшатель, Швейцария",46°59′37″ с. ш. 6°56′19″ в. д.
Люблянский университет,"Словения, Любляна",46°02′56″ с. ш. 14°30′14″ в. д.
Ереванский государственный университет,"Армения, Ереван",40°10′54″ с. ш. 44°31′35″ в. д.
Российский экономический университет имени Г. В. Плеханова,"Россия,  Москва",55°43′40″ с. ш. 37°37′41″ в. д.
Университет имама Садика,,
Кумская хауза,,
Казахский национальный университет,"Казахстан, Алма-Ата",43°13′30″ с. ш. 76°55′16″ в. д.
Государственный университет управления,"Россия, Москва, 

 Выхино",55°42′53″ с. ш. 37°48′51″ в. д.
Лейденский университет,"Лейден и Гаага,  Нидерланды",52°09′22″ с. ш. 4°29′13″ в. д.
Вильнюсский технический университет Гедимина,"Вильнюс, Литва",54°43′20″ с. ш. 25°20′09″ в. д.
Мадридский университет Комплутенсе,"Мадрид, Испания",40°26′57″ с. ш. 3°43′41″ з. д.
Папский католический университет Чили,"Сантьяго, Чили",33°26′39″ ю. ш. 70°39′03″ з. д.
Университет Малайя,"Куала-Лумпур, Пантай Лембах",3°07′15″ с. ш. 101°39′23″ в. д.
Академия наук ГДР,,Coord extraction error
Орхусский университет,"Орхус, Дания",56°10′15″ с. ш. 10°12′03″ в. д.
Ягеллонский университет,"Польша, Краков",50°03′39″ с. ш. 19°55′58″ в. д.
Католический университет Святого Сердца,"Милан, Италия",45°27′47″ с. ш. 9°10′36″ в. д.
Экономический университет в Братиславе,"Братислава, Словакия",48°07′33″ с. ш. 17°07′52″ в. д.
Словацкий технический университет в Братиславе,,48°09′17″ с. ш. 17°07′03″ в. д.
Московский авиационный институт,Россия: Москва,55°48′36″ с. ш. 37°29′54″ в. д.
Национальный автономный университет Мексики,Мехико,19°19′44″ с. ш. 99°11′14″ з. д.
Тартуский университет,Эстония: Тарту,58°22′52″ с. ш. 26°43′13″ в. д.
Рижский технический университет,Латвия: Рига,56°56′50″ с. ш. 24°06′17″ в. д.
Университет Йорка,,
Свободный университет Берлина,"Берлин, Германия",52°27′11″ с. ш. 13°17′26″ в. д.
Университет Осло,"Осло, Норвегия",59°56′24″ с. ш. 10°43′19″ в. д.
Стокгольмский университет,"Стокгольм, Швеция",59°21′55″ с. ш. 18°03′30″ в. д.
Римский университет Ла Сапиенца,"Рим, Лацио, Италия",41°54′12″ с. ш. 12°30′57″ в. д.
