name
Абдалла ибн Абдул-Азиз Аль Сауд
Абдель Азиз Бутефлика
Абдельазиз Джарад
Абдель Кадер Бенсалах
Абделькадер Мессахель
Абдельмаджид Теббун
Абдельмалек Селлаль
Абдулазиз Камилов
Абдулла ибн Заид Аль Нахайян
Абдулла Нигматович Арипов
Абдуллах Гюль
Абдул Момен
Абдул-Фаттах ас-Сиси
Абдул Халим Муадзам Шах
Абдул Хамид
Абул Хасан Махмуд Али
Авигдор Либерман
Адель аль-Джубейр
Адли Мансур
Айман Бенабдеррахман
Акихито
Акылбек Жапаров
Алар Карис
Александр Ван дер Беллен
Александр де Кроо
Александр Стубб
Александр Шалленберг
Алексис Ципрас
Ален Берсе
Аленка Братушек
Ален Симонян
Али Асадов
Али Багери
Алисия Барсена
Али Хаменеи
Алихан Смаилов
Алмазбек Шаршенович Атамбаев
Алоизиу Нунес
Альберто ван Клаверен
Альваро Лейва
Альгирдас Буткявичюс
Альфонсо Дастис
Альфредо Морено Чарме
Анвар Ибрагим
Ангела Меркель
Андерс Самуэльсен
Анджей Дуда
Анджелино Альфано
Андрей Бабиш
Андрей Киска
Андрей Кобяков
Андрес Алламанд
Андрес Мануэль Лопес Обрадор
Андрес Сутт
Андрис Берзиньш
Анже Логар
Анибал Каваку Силва
Анифа Аман
Анналена Бербок
Анникен Хюитфельдт
Анн Линде
"Анри, Великий герцог Люксембургский"
Антонио Таяни
Антонис Самарас
Антониу Кошта
Антония Уррехола
Антти Ринне
Ара Айвазян
Аранча Гонсалес Лайя
Арарат Мирзоян
Армен Григорян
Армен Саркисян
Арнольдо Андре Тиноко
Артём Новиков
Артур Расизаде
Асқар Мамин
Аугусту Сантуш Силва
Ахмед Аттаф
Ахмед Уяхья
Ахмет Давутоглу
Байба Браже
Бакытжан Сагинтаев
Барак Обама
Батмунхийн Батцэцэг
Бахтиёр Одилович Саидов
Беата Шидло
Бейбут Атамкулов
Бен Кнапен
Бёрге Бренде
Бернар Казнёв
Берт Кундерс
Билл Инглиш
Бинали Йылдырым
Биньямин Нетаньяху
Богуслав Соботка
Борис Джонсон
Борут Пахор
Бригитте Бирляйн
Бронислав Коморовский
Буй Тхань Шон
Ваагн Хачатурян
Валдис Домбровскис
Ван И
Василики Тану-Христофилу
Василиос Каскарелис
Вернер Файман
Виктор Орбан
Виллем-Александр
Виола Амерд
Витольд Ващиковский
Владимир Норов
Во Ван Тхыонг
Вопке Хукстра
Во Тхи Ань Суан
Габи Ашкенази
Габриэль Атталь
Габриэль Борич
Габриэлюс Ландсбергис
Георгиос Катругалос
Гжегож Схетына
Ги Пармелен
Гитанас Науседа
Грант Робертсон
Густаво Петро
Даля Грибаускайте
Дамдингийн Цогтбаатар
Данг Тхи Нгок Тхинь
Джасинда Ардерн
Джастин Трюдо
Джейкоб Зума
Джеймс Клеверли
Джейхун Байрамов
Джереми Хант
Джерри Браунли
Джо Байден
Джоко Видодо
Джон Керри
Джон Ки
Джон Рассел Бэрд
"Джон Салливан
"
Джоомарт Оторбаев
Джорджа Мелони
Джорджо Наполитано
Джузеппе Конте
Джули Бишоп
Дидье Буркхальтер
Дидье Рейндерс
Дик Схоф
Дилма Русеф
Дмитрий Медведев
Доминик Рааб
Дональд Трамп
Дональд Туск
Дорис Бурес
Дорис Лойтхард
Драупади Мурму
Дэвид Кэмерон
Дэвид Лэмми
Дэндэвийн Тэрбишдагва
Дэниел Беннетт Смит
Евангелос Венизелос
Ёко Камикава
Елизавета II
Ерлан Идрисов
Ёсимаса Хаяси
Ёсихидэ Суга
Жаир Болсонару
Жан Ассельборн
Жан-Ив Ле Дриан
Жан Кастекс
Жан-Марк Эро
Жанторо Сатыбалдиев
Жаргалтулгын Эрдэнэбат
Жоау Гомеш Кравинью
Жозеп Боррель
Жозе Серра
Жээнбек Кулубаев
Замбри Абдул Кадир
Збигнев Рау
Зигмар Габриэль
Зограб Мнацаканян
Зузана Чапутова
Ибрагим аль-Ассаф
Ибрагим Исмаил
Ибрагим Махляб
Ибрагим Раиси
Иван Гашпарович
Иван Дуке Маркес
Иван Корчок
Игор Матович
Ильхам Алиев
Ингрида Шимоните
Ине Эриксен Серейде
Иньяцио Кассис
Ислам Абдуганиевич Каримов
Исмаил Сабри Яакоб
Исраэль Кац
Ицхак Герцог
Йеппе Кофод
Йоахим Вильгельм Гаук
Йонас Гар Стёре
Йоргос Герапетритис
Йоханн Шнайдер-Амманн
Кайрат Абдрахманов
Камала Харрис
Кан Гён Хва
Карен Карапетян
Карим Масимов
Карин Келлер-Зуттер
Карин Кнайсль
Карл III
Карл XVI Густав
Карл Бильдт
Карл Нехаммер
Карлос Андрес Альварадо Кесада
Карлос Холмс Трухильо
Карлус Альберту
Карлхайнц Копф
Карл Эрьявец
Каролос Папульяс
Каспар Вельдкамп
Касым-Жомарт Токаев
Каталин Новак
Катерина Сакелларопулу
Катрин Колонна
Кая Каллас
Кейт Пентус
Керсти Кальюлайд
Ким Бу Гём
Кириакос Мицотакис
Кир Стармер
Клаудия Блум
Клаудия Руис Массиеу
Клаудия Шейнбаум
Кристиан Йенсен
Кристофер Лаксон
Крис Хипкинс
Кришьянис Кариньш
Ксавье Беттель
Кубатбек Боронов
Лаймдота Страуюма
Ларс Лёкке Расмуссен
Лаура Чинчилья Миранда
Лео Варадкар
Ли Вангу
Лиз Трасс
Ли Кэцян
Ли Нак Ён
Линас Линкявичюс
Линдиве Сисулу
Лисье Схрейнемахер
Ли Цян
Лоран Фабиус
Лувсанвандангийн Болд
Лувсаннамсрайн Оюун-Эрдэнэ
Луиджи Ди Майо
Луис Альберто Фигейредо
Луис Видегарай Касо
Луис Гильермо Солис
Луис Хильберто Мурильо
Луиш Монтенегру
Лундэг Пурэвсурэн
Любомир Заоралек
Людовит Одор
Люк Фриден
Магдалена Андерссон
Майкл Дэниел Хиггинс
Майк Пенс
Майк Помпео
Макей Владимир
Максим Рыженков
Малкольм Тернбулл
Манмохан Сингх
Мануэль Вальс
Мануэль Вентура
Мануэль Гонсалес Санс
Маргарита Роблес
Маргот Валльстрём
Маргрете II
Маргус Цахкна
Мариано Рахой
Марина Кальюранд
Марио Драги
Марис Кучинскис
Марис Пейн
Мария Анхела Ольгин
Марк Гарно
Маркос Гальвао
Марк Рютте
Маррей Маккалли
Марсело Эбрард
Марселу Ребелу де Соуза
Марта Люсия Рамирес
Марти Наталегава
Мартин Линдегор
Мартин Стропницкий
Марьян Шарец
Масуд Пезешкиан
Матеуш Моравецкий
Маттео Ренци
Мауро Вийера
Махатхир Мохамад
Мевлют Чавушоглу
Мелани Жоли
Метте Фредериксен
Милош Земан
Мирослав Влаховский
Мирослав Лайчак
Мирослав Церар
Михаил Мясникович
Михаэль Линхарт
Михаэль Шпинделеггер
Михол Мартин
Мишел Темер
Мишель Бачелет
Мишустин Михаил Владимирович
Мохамад Хасан
Мохаммад-Джавад Зариф
Мохаммад Мохбер
Мохаммад Шахабуддин
Мохаммед ибн Рашид Аль Мактум
Мукрин ибн Абдул-Азиз Аль Сауд
Мун Чжэ Ин
Мурат Нуртлеу
Мустафа Мадбули
Мухаммад V
Мухаммад ибн Заид Аль Нахайян
Мухаммед бен Салман
Мухаммед ибн Наиф Аль Сауд
Мухаммедкалый Абылгазиев
Мухиддин Яссин
Набиль Фахми
Наджиб Разак
Назир Ларбави
Назрин Муизуддин Шах
Наиф ибн Абдул-Азиз Аль Сауд
Наледи Пандор
Наная Махута
Нарендра Моди
Нарухито
Наташа Пирц-Мусар
Нафтали Бенет
Нгуен Суан Фук
Нгуен Тан Зунг
Нгуен Фу Чонг
Нигматилла Тулкинович
Никос Дендиас
Никос Кодзиас
Нкоана-Машабане
Новруз Исмаил оглы Мамедов
Норберт Хофер
Норовын Алтанхуяг
Нуреддин Бедуи
Нурсултан Назарбаев
Нямцэрэн Энхтайван
Овик Абраамян
Олаф Шольц
Олжас Бектенов
Пак Джин
Пак Кын Хе
Паоло Джентилони
Паулу Ранжел
Педро Санчес
Педру Пасуш Коэлью
Пекка Хаависто
Пенни Вонг
Петер Пеллегрини
Петер Сийярто
Петрос Моливиатис
Петр Павел
Петр Фиала
Петтери Орпо
Пранаб Мукерджи
Прокопис Павлопулос
Путин Владимир Владимирович
Радослав Сикорский
Раймондс Вейонис
Райнхольд Миттерленер
Рам Натх Ковинд
Рамтан Ламамра
Растислав Качер
Реджеп Тайип Эрдоган
Рекс Тиллерсон
Ретно Марсуди
Реувен Ривлин
Рихард Сулик
Риши Сунак
Роберт Голоб
Роберто Ампуэро
Роберт Фицо
Роб Николсон
Родольфо Солано Кирос
Родриго Чавес Роблес
Роман Головченко
Роман Скляр
Рональд Ламола
Руи Машете
Руслан Казакбаев
Сабри Букадум
Садыр Жапаров
Саймон Ковни
Саймон Харрис
Сайфуддин Абдулла
Салман ибн Абдул-Азиз Аль Сауд
Салман Хуршид
Самех Шукри
Санна Марин
Сапар Исаков
Сауд аль-Фейсал
Саули Нийнистё
Саулюс Сквернялис
Свен Миксер
Себастьян Курц
Себастьян Пиньера
Сергей Алейник
Сергей Лавров
Сергей Румас
Серджо Маттарелла
Серж Саргсян
Серик Ахметов
Сигрид Кааг
Симонетта Соммаруга
Синдзо Абэ
Сирил Рамафоса
Си Цзиньпин
Скотт Моррисон
Сооронбай Жээнбеков
Софи Вильмес
Стефан Дион
Стефан Лёвен
Стефан Сежурне
Стеф Блок
Стивен Харпер
Субраманьям Джайшанкар
Сусило Бамбанг Юдойоно
Сушма Сварадж
Таави Рыйвас
Талант Мамытов
Тамаш Шуйок
Таня Файон
Таро Коно
Темир Сариев
Тенгку Абдулла
Теодоро Рибера
Тереза Мэй
Тибор Наврачич
Тигран Саргсян
Тимо Сойни
Тлеуберди Мухтар
Тобиас Билльстрём
То Лам
Томас Шеннон
Томаш Петржичек
Том де Брюйн
Тони Абботт
Тоомас Ильвес
Тосимицу Мотэги
Уильям Хейг
Уинстон Питерс
Ули Маурер
Улукбек Марипов
Ульф Кристерссон
Ури Розенталь
Урмас Паэт
Урмас Рейнсалу
Ухнаагийн Хурэлсух
Фам Бинь Минь
Фам Минь Тинь
Федерика Могерини
Фейсал ибн Фархан Аль Сауд
Феридун Синирлиоглу
Филипп VI
Филипп Гоффен
Филипп (король Бельгии)
Филип Хэммонд
Франк-Вальтер Штайнмайер
Франс Тиммерманс
Франсуа Олланд
Франсуа-Филипп Шампань
Фредерик X
Фредрик Райнфельдт
Фумио Кисида
Хаджа Лабиб
Хазем аль-Баблауи
Хайко Йозеф Маас
Хайнц Фишер
Халбе Зейлстра
Халифа ибн Заид Аль Нахайян‎
Халтмаагийн Баттулга
Хан Док Су
Ханке Брюинс Слот
Харальд V
Хартвиг Лёгер
Хасан Махмуд
Хасан Рухани
Хван Гёан
Хелле Торнинг-Шмитт
Хишамуддин Хусейн
Хольгер К. Нилсен
Хон Нам Ки
Хосе Антонио Мид
Хосейн Амир Абдоллахиян
Хосе Мануэль Альбарес
Хосе Мануэль Гарсия-Маргальо
Хосе Энрике Кастильо Баррантес
Христя Фриланд
Хуан Карлос I
Хуан Мануэль Сантос Кальдерон
Цахиагийн Элбэгдорж
Цинь Ган
Цэндийн Мунх-Оргил
Чан Дай Куанг
Чарльз Фленеган
Чимэдийн Сайханбилэг
Чингиз Айдарбеков
Чон Се Гюн
Чон Хонвон
Чон Ый Ён
Чо Тхэ Ёль
Чхве Гёнхван
Чху Гён Хо
Чыонг Тан Шанг
Шавкат Мирзиёев
Шейх Хасина
Шериф Исмаил
Шимон Перес
Шинковский вель Сенк
Эва Копач
Эва-Мария Лийметс
Эвика Силиня
Эгилс Левитс
Эдвард Налбандян
Эдгар Ринкевич
Эдуард Хегер
Эдуар Филипп
Эймен Гилмор
Элизабет Борн
Эли Коэн
Элина Валтонен
Элио ди Рупо
Эльмар Мамедъяров
Эмма Бонино
Энда Кенни
Энрике Пенья Ньето
Энрико Летта
Энтони Албаниз
Энцо Моаверо-Миланези
Эпси Кэмпбелл Барр
Эральдо Муньос
Эркки Туомиоя
Эрлан Абдылдаев
Эрна Сульберг
Эрнесто Араужу
Эспен Барт Эйде
Ю Иль Хо
Юн Бёнсе
Юн Сок Ёль
Юрай Бланар
Юрген Лиги
Юри Ратас
Юрки Катайнен
Юсеф Юсфи
Юха Сипиля
Яир Лапид
Якуб Кульганек
Янез Янша
Ян Липавски
Янош Адер
Янош Мартоньи
Ярослав Надь
Яцек Чапутович
